Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,15,63412,1531672,Kern,Delano Joint Union High,Delano High,High School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1589,1180,74.30%,1395,87.80%,1559,1156,74.20%,1367,87.70%,Y
2015-2016,15,63420,6009419,Kern,Di Giorgio Elementary,Di Giorgio Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,213,204,95.80%,206,96.70%,211,202,95.70%,204,96.70%,Y
2015-2016,15,63438,6009435,Kern,Edison Elementary,Edison Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,5,8,480,403,84.00%,457,95.20%,480,403,84.00%,457,95.20%,Y
2015-2016,15,63438,6009443,Kern,Edison Elementary,Orangewood Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,594,494,83.20%,544,91.60%,582,484,83.20%,533,91.60%,Y
2015-2016,15,63446,6009450,Kern,Elk Hills Elementary,Elk Hills Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,196,96,49.00%,114,58.20%,196,96,49.00%,114,58.20%,Y
2015-2016,15,63461,106690,Kern,Fairfax Elementary,Shirley Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,654,569,87.00%,620,94.80%,645,562,87.10%,612,94.90%,Y
2015-2016,15,63461,107987,Kern,Fairfax Elementary,Fairfax Jr. High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,7,8,526,430,81.70%,479,91.10%,526,430,81.70%,479,91.10%,Y
2015-2016,15,63461,129130,Kern,Fairfax Elementary,Zephyr Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,684,541,79.10%,637,93.10%,675,536,79.40%,631,93.50%,Y
2015-2016,15,63461,6009500,Kern,Fairfax Elementary,Virginia Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,676,611,90.40%,657,97.20%,663,598,90.20%,644,97.10%,Y
2015-2016,15,63479,6101588,Kern,Fruitvale Elementary,Quailwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,390,137,35.10%,183,46.90%,390,137,35.10%,183,46.90%,Y
2015-2016,15,63479,6104004,Kern,Fruitvale Elementary,Fruitvale Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,673,199,29.60%,264,39.20%,673,199,29.60%,264,39.20%,Y
2015-2016,15,63479,6109987,Kern,Fruitvale Elementary,Discovery Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,883,249,28.20%,339,38.40%,866,242,27.90%,331,38.20%,Y
2015-2016,15,63479,6112783,Kern,Fruitvale Elementary,Columbia Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,524,179,34.20%,238,45.40%,510,175,34.30%,233,45.70%,Y
2015-2016,15,63479,6112791,Kern,Fruitvale Elementary,Endeavour Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,767,255,33.20%,350,45.60%,754,251,33.30%,345,45.80%,Y
2015-2016,15,63487,6009534,Kern,General Shafter Elementary,General Shafter Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,153,83,54.20%,115,75.20%,151,81,53.60%,113,74.80%,Y
2015-2016,15,63503,100685,Kern,Greenfield Union,Valle Verde Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,995,771,77.50%,877,88.10%,979,757,77.30%,862,88.00%,Y
2015-2016,15,63503,101014,Kern,Greenfield Union,McKee Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,956,726,75.90%,818,85.60%,956,726,75.90%,818,85.60%,Y
2015-2016,15,63503,110767,Kern,Greenfield Union,Horizon Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,821,655,79.80%,724,88.20%,809,645,79.70%,714,88.30%,Y
2015-2016,15,63503,116715,Kern,Greenfield Union,Granite Pointe Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,938,639,68.10%,737,78.60%,923,627,67.90%,724,78.40%,Y
2015-2016,15,63503,120865,Kern,Greenfield Union,Greenfield Community,Elementary School District,District Community Day Schools,Community Day School,None,N,,,N,K,8,30,26,86.70%,27,90.00%,30,26,86.70%,27,90.00%,Y
2015-2016,15,63503,6009559,Kern,Greenfield Union,Fairview Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,510,435,85.30%,471,92.40%,502,429,85.50%,464,92.40%,Y
2015-2016,15,63503,6009567,Kern,Greenfield Union,Greenfield Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,870,729,83.80%,802,92.20%,870,729,83.80%,802,92.20%,Y
2015-2016,15,63503,6009583,Kern,Greenfield Union,Plantation Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,679,604,89.00%,655,96.50%,670,596,89.00%,647,96.60%,Y
2015-2016,15,63503,6009591,Kern,Greenfield Union,Planz Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,704,583,82.80%,642,91.20%,689,571,82.90%,629,91.30%,Y
2015-2016,15,63503,6108468,Kern,Greenfield Union,W. A. Kendrick Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,806,655,81.30%,720,89.30%,795,646,81.30%,711,89.40%,Y
2015-2016,15,63503,6111157,Kern,Greenfield Union,Raffaello Palla Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,904,724,80.10%,805,89.00%,878,707,80.50%,785,89.40%,Y
2015-2016,15,63503,6112270,Kern,Greenfield Union,Leon H. Ollivier Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1058,819,77.40%,930,87.90%,1058,819,77.40%,930,87.90%,Y
2015-2016,15,63529,100198,Kern,Kern High,Golden Valley High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2402,1688,70.30%,1969,82.00%,2318,1632,70.40%,1908,82.30%,Y
2015-2016,15,63529,110999,Kern,Kern High,Frontier High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2320,393,16.90%,531,22.90%,2257,383,17.00%,517,22.90%,Y
2015-2016,15,63529,116392,Kern,Kern High,Independence High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2071,808,39.00%,1107,53.50%,2011,775,38.50%,1073,53.40%,Y
2015-2016,15,63529,116400,Kern,Kern High,Mira Monte High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2159,1819,84.30%,1964,91.00%,2099,1771,84.40%,1913,91.10%,Y
2015-2016,15,63529,125062,Kern,Kern High,Tierra Del Sol Continuation High,High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,311,255,82.00%,267,85.90%,262,221,84.40%,232,88.50%,Y
2015-2016,15,63529,1530021,Kern,Kern High,Central Valley High (Continuation),High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,84,66,78.60%,72,85.70%,68,53,77.90%,59,86.80%,Y
2015-2016,15,63529,1530047,Kern,Kern High,Nueva Continuation High,High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,111,91,82.00%,96,86.50%,88,71,80.70%,75,85.20%,Y
2015-2016,15,63529,1530112,Kern,Kern High,Vista West Continuation High,High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,294,169,57.50%,186,63.30%,235,137,58.30%,153,65.10%,Y
2015-2016,15,63529,1530252,Kern,Kern High,Arvin High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2512,1936,77.10%,2204,87.70%,2449,1894,77.30%,2162,88.30%,Y
2015-2016,15,63529,1530344,Kern,Kern High,Stockdale High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2110,502,23.80%,687,32.60%,2068,490,23.70%,671,32.40%,Y
2015-2016,15,63529,1530369,Kern,Kern High,Centennial High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1992,389,19.50%,482,24.20%,1922,374,19.50%,465,24.20%,Y
2015-2016,15,63529,1530385,Kern,Kern High,Ridgeview High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2383,1346,56.50%,1671,70.10%,2323,1310,56.40%,1632,70.30%,Y
2015-2016,15,63529,1530435,Kern,Kern High,Kern Workforce 2000 Academy,High School District,High Schools (Public),Traditional,None,Y,71,Locally funded,N,9,12,422,297,70.40%,322,76.30%,375,260,69.30%,285,76.00%,Y
2015-2016,15,63529,1530476,Kern,Kern High,Liberty High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2043,336,16.40%,411,20.10%,1972,323,16.40%,396,20.10%,Y
2015-2016,15,63529,1530708,Kern,Kern High,Bakersfield High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2843,1750,61.60%,1925,67.70%,2735,1682,61.50%,1853,67.80%,Y
2015-2016,15,63529,1532290,Kern,Kern High,East Bakersfield High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2217,1678,75.70%,1826,82.40%,2137,1623,75.90%,1770,82.80%,Y
2015-2016,15,63529,1532605,Kern,Kern High,Foothill High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1996,1496,74.90%,1676,84.00%,1941,1464,75.40%,1639,84.40%,Y
2015-2016,15,63529,1533330,Kern,Kern High,Highland High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1962,1061,54.10%,1247,63.60%,1921,1034,53.80%,1220,63.50%,Y
2015-2016,15,63529,1533538,Kern,Kern High,Kern Valley High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,463,269,58.10%,303,65.40%,437,251,57.40%,285,65.20%,Y
2015-2016,15,63529,1534775,Kern,Kern High,North High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1637,1081,66.00%,1243,75.90%,1582,1041,65.80%,1197,75.70%,Y
2015-2016,15,63529,1535087,Kern,Kern High,Shafter High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1486,1010,68.00%,1186,79.80%,1445,982,68.00%,1156,80.00%,Y
2015-2016,15,63529,1535392,Kern,Kern High,South High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,1981,1612,81.40%,1830,92.40%,1914,1557,81.30%,1770,92.50%,Y
2015-2016,15,63529,1536325,Kern,Kern High,Vista Continuation High,High School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,244,200,82.00%,212,86.90%,193,159,82.40%,170,88.10%,Y
2015-2016,15,63529,1536606,Kern,Kern High,West High,High School District,High Schools (Public),Traditional,None,N,,,N,9,12,2027,1462,72.10%,1700,83.90%,1946,1412,72.60%,1643,84.40%,Y
2015-2016,15,63545,112524,Kern,Kernville Union Elementary,Rio Vista Community Day,Elementary School District,District Community Day Schools,Community Day School,None,N,,,N,5,8,6,4,66.70%,5,83.30%,6,4,66.70%,5,83.30%,Y
2015-2016,15,63545,122887,Kern,Kernville Union Elementary,Woodrow Wallace Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,5,8,337,230,68.20%,245,72.70%,337,230,68.20%,245,72.70%,Y
2015-2016,15,63545,6009641,Kern,Kernville Union Elementary,Kernville Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,4,124,85,68.50%,87,70.20%,124,85,68.50%,87,70.20%,Y
2015-2016,15,63545,6009658,Kern,Kernville Union Elementary,Woodrow W. Wallace Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,4,410,328,80.00%,341,83.20%,394,316,80.20%,328,83.20%,Y
2015-2016,15,63552,1,Kern,Lakeside Union,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2015-2016,15,63552,6009666,Kern,Lakeside Union,Lakeside,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,567,301,53.10%,373,65.80%,567,301,53.10%,373,65.80%,Y
2015-2016,15,63552,6115042,Kern,Lakeside Union,Donald E. Suburu,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,750,389,51.90%,506,67.50%,732,377,51.50%,491,67.10%,Y
2015-2016,15,63560,6009674,Kern,Lamont Elementary,Alicante Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,1212,984,81.20%,1058,87.30%,1190,972,81.70%,1044,87.70%,Y
2015-2016,15,63560,6009682,Kern,Lamont Elementary,Lamont Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,4,725,536,73.90%,601,82.90%,698,522,74.80%,586,84.00%,Y
2015-2016,15,63560,6009690,Kern,Lamont Elementary,Mountain View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,7,8,585,490,83.80%,540,92.30%,585,490,83.80%,540,92.30%,Y
2015-2016,15,63560,6009708,Kern,Lamont Elementary,Myrtle Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,4,8,512,418,81.60%,477,93.20%,512,418,81.60%,477,93.20%,Y
2015-2016,15,63578,107771,Kern,Richland Union Elementary,Sequoia Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 1,N,,,N,P,6,839,622,74.10%,696,83.00%,827,612,74.00%,685,82.80%,Y
2015-2016,15,63578,6009989,Kern,Richland Union Elementary,Redwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 1,N,,,N,K,6,938,789,84.10%,874,93.20%,922,781,84.70%,862,93.50%,Y
2015-2016,15,63578,6010003,Kern,Richland Union Elementary,Richland Junior High,Elementary School District,Junior High Schools (Public),Traditional,None,N,,,N,7,8,794,663,83.50%,726,91.40%,794,663,83.50%,726,91.40%,Y
2015-2016,15,63578,6090591,Kern,Richland Union Elementary,Golden Oak Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 1,N,,,N,P,6,937,775,82.70%,868,92.60%,923,764,82.80%,856,92.70%,Y
2015-2016,15,63586,6009724,Kern,Linns Valley-Poso Flat Union,Linns Valley-Poso Flat Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,26,19,73.10%,19,73.10%,26,19,73.10%,19,73.10%,Y
2015-2016,15,63594,6060420,Kern,Lost Hills Union Elementary,Lost Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,384,372,96.90%,376,97.90%,377,365,96.80%,369,97.90%,Y
2015-2016,15,63594,6102792,Kern,Lost Hills Union Elementary,A. M. Thomas Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,170,160,94.10%,163,95.90%,170,160,94.10%,163,95.90%,Y
2015-2016,15,63610,6009732,Kern,Maple Elementary,Maple Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,288,122,42.40%,164,56.90%,279,120,43.00%,161,57.70%,Y
2015-2016,15,63628,122853,Kern,Maricopa Unified,Maricopa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,57,49,86.00%,54,94.70%,57,49,86.00%,54,94.70%,Y
2015-2016,15,63628,127183,Kern,Maricopa Unified,California Virtual Academy @ Maricopa,Unified School District,Elementary Schools (Public),Traditional,None,Y,1490,Directly funded,Y,K,8,1193,586,49.10%,753,63.10%,1188,584,49.20%,750,63.10%,Y
2015-2016,15,63628,127209,Kern,Maricopa Unified,California Virtual Academy High @ Maricopa,Unified School District,High Schools (Public),Traditional,None,Y,1491,Directly funded,Y,9,12,595,293,49.20%,385,64.70%,556,270,48.60%,358,64.40%,Y
2015-2016,15,63628,128504,Kern,Maricopa Unified,Peak to Peak Mountain Charter,Unified School District,Elementary Schools (Public),Traditional,None,Y,1575,Directly funded,Y,K,7,69,23,33.30%,31,44.90%,69,23,33.30%,31,44.90%,Y
2015-2016,15,63628,1533843,Kern,Maricopa Unified,Maricopa High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,81,64,79.00%,69,85.20%,74,58,78.40%,62,83.80%,Y
2015-2016,15,63628,6009740,Kern,Maricopa Unified,Maricopa Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,143,111,77.60%,112,78.30%,140,108,77.10%,109,77.90%,Y
2015-2016,15,63651,6009773,Kern,McKittrick Elementary,McKittrick Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,75,17,22.70%,17,22.70%,75,17,22.70%,17,22.70%,Y
2015-2016,15,63669,6009781,Kern,Midway Elementary,Midway Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,94,51,54.30%,55,58.50%,94,51,54.30%,55,58.50%,Y
2015-2016,15,63677,113837,Kern,Mojave Unified,Hacienda Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,3,5,494,398,80.60%,412,83.40%,494,398,80.60%,412,83.40%,Y
2015-2016,15,63677,114512,Kern,Mojave Unified,California City High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,484,337,69.60%,357,73.80%,454,315,69.40%,332,73.10%,Y
2015-2016,15,63677,1530336,Kern,Mojave Unified,Douglas,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2015-2016,15,63677,1534460,Kern,Mojave Unified,Mojave Jr./Sr. High,Unified School District,High Schools (Public),Traditional,None,N,,,N,7,12,273,227,83.20%,232,85.00%,265,223,84.20%,228,86.00%,Y
2015-2016,15,63677,6009799,Kern,Mojave Unified,Mojave Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,497,442,88.90%,447,89.90%,491,437,89.00%,441,89.80%,Y
2015-2016,15,63677,6009823,Kern,Mojave Unified,Robert P. Ulrich Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,2,534,425,79.60%,441,82.60%,519,415,80.00%,431,83.00%,Y
2015-2016,15,63677,6111272,Kern,Mojave Unified,California City Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,429,333,77.60%,347,80.90%,429,333,77.60%,347,80.90%,Y
2015-2016,15,63685,1530997,Kern,Muroc Joint Unified,Boron Junior-Senior High,Unified School District,High Schools (Public),Traditional,None,N,,,N,7,12,243,145,59.70%,157,64.60%,230,139,60.40%,150,65.20%,Y
2015-2016,15,63685,1531987,Kern,Muroc Joint Unified,Desert Junior-Senior High,Unified School District,High Schools (Public),Traditional,None,N,,,N,7,12,579,43,7.40%,73,12.60%,568,40,7.00%,69,12.10%,Y
2015-2016,15,63685,6009880,Kern,Muroc Joint Unified,Irving L. Branch Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,774,83,10.70%,140,18.10%,757,78,10.30%,134,17.70%,Y
2015-2016,15,63685,6009906,Kern,Muroc Joint Unified,West Boron Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,320,203,63.40%,221,69.10%,318,201,63.20%,219,68.90%,Y
2015-2016,15,63693,1,Kern,Norris Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2015-2016,15,63693,113738,Kern,Norris Elementary,Veterans Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,1045,65,6.20%,67,6.40%,1031,64,6.20%,66,6.40%,Y
2015-2016,15,63693,6009914,Kern,Norris Elementary,Norris Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,972,89,9.20%,90,9.30%,961,88,9.20%,89,9.30%,Y
2015-2016,15,63693,6103493,Kern,Norris Elementary,Norris Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,933,81,8.70%,81,8.70%,933,81,8.70%,81,8.70%,Y
2015-2016,15,63693,6108575,Kern,Norris Elementary,Olive Drive Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,548,79,14.40%,81,14.80%,532,78,14.70%,80,15.00%,Y
2015-2016,15,63693,6118681,Kern,Norris Elementary,William B. Bimat Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,574,36,6.30%,39,6.80%,557,36,6.50%,39,7.00%,Y
2015-2016,15,63719,6009963,Kern,Pond Union Elementary,Pond Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,219,184,84.00%,196,89.50%,217,182,83.90%,194,89.40%,Y
2015-2016,15,63750,111245,Kern,Rosedale Union Elementary,American Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,738,148,20.10%,181,24.50%,738,148,20.10%,181,24.50%,Y
2015-2016,15,63750,6010029,Kern,Rosedale Union Elementary,Rosedale Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,644,79,12.30%,104,16.10%,644,79,12.30%,104,16.10%,Y
2015-2016,15,63750,6096127,Kern,Rosedale Union Elementary,Rosedale-North Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,457,126,27.60%,169,37.00%,451,124,27.50%,166,36.80%,Y
2015-2016,15,63750,6108781,Kern,Rosedale Union Elementary,Centennial Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,513,79,15.40%,89,17.30%,513,79,15.40%,89,17.30%,Y
2015-2016,15,63750,6110431,Kern,Rosedale Union Elementary,Del Rio Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,413,93,22.50%,116,28.10%,385,88,22.90%,111,28.80%,Y
2015-2016,15,63750,6111686,Kern,Rosedale Union Elementary,Almondale Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,659,126,19.10%,162,24.60%,637,121,19.00%,155,24.30%,Y
2015-2016,15,63750,6113484,Kern,Rosedale Union Elementary,Independence Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,653,119,18.20%,152,23.30%,653,119,18.20%,152,23.30%,Y
2015-2016,15,63750,6117717,Kern,Rosedale Union Elementary,Freedom Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,650,124,19.10%,146,22.50%,650,124,19.10%,146,22.50%,Y
2015-2016,15,63750,6120398,Kern,Rosedale Union Elementary,Patriot Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,787,171,21.70%,214,27.20%,787,171,21.70%,214,27.20%,Y
2015-2016,15,63768,6010037,Kern,Semitropic Elementary,Semitropic Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,214,166,77.60%,190,88.80%,211,164,77.70%,187,88.60%,Y
2015-2016,15,63776,111377,Kern,Southern Kern Unified,Westpark Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,838,500,59.70%,562,67.10%,820,491,59.90%,552,67.30%,Y
2015-2016,15,63776,1530039,Kern,Southern Kern Unified,Rare Earth High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,7,12,51,34,66.70%,36,70.60%,44,29,65.90%,30,68.20%,Y
2015-2016,15,63776,1530377,Kern,Southern Kern Unified,Abraham Lincoln Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,98,48,49.00%,48,49.00%,74,36,48.60%,36,48.60%,Y
2015-2016,15,63776,1534957,Kern,Southern Kern Unified,Rosamond High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,759,404,53.20%,477,62.80%,710,376,53.00%,445,62.70%,Y
2015-2016,15,63776,6010045,Kern,Southern Kern Unified,Rosamond Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,790,541,68.50%,602,76.20%,775,532,68.60%,592,76.40%,Y
2015-2016,15,63776,6010052,Kern,Southern Kern Unified,Tropico Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,678,421,62.10%,491,72.40%,678,421,62.10%,491,72.40%,Y
2015-2016,15,63784,6010060,Kern,South Fork Union,South Fork Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,241,169,70.10%,176,73.00%,240,168,70.00%,175,72.90%,Y
